X,Y,district,monument_id,ste_name,period,category,subcategory,type
357887.9998,6775664,Hattula,1000019161,Vesunnan kartano 5,iron age,"asuinpaikat, hautapaikat, löytöpaikat,",",  , ei määritelty,",kiinteä muinaisjäännös
261132.3452,6710733.857,Paimio,577010025,Sievolanmäki,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
285818.5375,6688663.846,Salo,586010103,Öfverbygård 3,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
285774.5491,6689025.703,Salo,586010082,Ketunkankare,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
411638.7502,6779678.25,Asikkala,1000037951,Tohkala,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
252575.7994,6707099.272,Kaarina,602010011,Rekolanmäki,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
254816.9037,6705955.741,Kaarina,602010049,Leskelä ja Kurola,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
240743.5202,6713692.564,Turku,853010018,Tuomi-Lehtonen-Muonamiestalot,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
295352.8222,6665457.218,Raasepori,835010043,Fastarby gård,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
294826.8275,6706634.672,Salo,587010020,Pajari,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
226688.0491,6736075.509,Mynämäki,503010004,Hiittiömäki,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
219929.0001,6735374,Mynämäki,490010015,Pitkäsmäki,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
235209.9999,6715770,Raisio,1000023803,Petterinpelto,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",löytöpaikka
614993.0002,6792693,Rautjärvi,1000020936,Kalevanmäki,iron age,"asuinpaikat, hautapaikat,  ,",", ei määritelty,  ,",kiinteä muinaisjäännös
