pottery,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
1,0,0,0,0,0,0,2,2,1,1,0,0,0,1,5,3
2,0,0,0,0,0,0,1,0,0,1,1,7,0,0,0,0
3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,0,4,0,0,2,0,0,1,0,0,0,0,1,0,2,0
8,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
9,0,7,6,1,2,0,0,0,0,1,3,3,0,0,1,1
10,3,6,1,1,3,3,2,6,2,2,12,5,2,1,2,1
11,0,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
13,0,2,12,0,0,0,1,0,0,0,1,0,0,0,0,0
14,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0
15,0,0,0,0,0,0,1,1,1,1,1,0,7,3,4,2
16,1,1,0,0,0,1,2,0,1,0,4,1,9,4,0,0
17,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
18,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0
19,0,0,0,0,0,0,0,1,3,1,0,2,3,2,7,0
20,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0
21,0,0,0,0,0,0,1,0,0,0,2,0,1,0,4,0
22,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
23,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
24,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
25,1,8,26,3,1,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,2,1,2,0,0,13,1,4,4
27,1,4,0,0,0,2,0,1,2,4,14,2,1,3,0,0
28,1,1,13,1,0,2,0,0,0,0,0,0,0,0,0,0
29,0,3,14,0,0,0,1,0,0,0,1,0,0,0,0,0
30,1,6,0,0,0,1,1,1,0,0,4,0,0,0,1,1
31,10,14,2,0,0,11,6,16,3,5,24,27,4,5,2,2
32,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
33,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0
34,0,4,0,0,0,1,0,0,0,0,4,1,2,1,7,0
35,4,5,0,0,0,1,0,1,0,0,3,0,0,0,0,0
36,0,0,0,0,0,0,1,0,1,1,1,0,0,2,2,1
37,0,0,0,0,0,0,0,0,3,0,0,1,1,4,0,1
38,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
39,2,13,0,2,2,5,7,5,3,5,15,5,0,4,6,3
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
41,5,9,3,4,0,5,7,7,11,9,13,13,14,8,11,12
42,0,1,0,0,0,0,0,0,0,1,0,0,8,0,1,1
43,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
44,0,0,0,0,0,0,1,5,0,1,0,3,0,0,0,0
45,0,0,1,0,0,1,0,2,1,1,2,2,0,0,0,0
46,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
47,0,5,0,0,1,2,0,0,0,0,2,0,0,0,2,0
48,1,3,1,0,1,5,2,5,0,0,9,2,0,0,0,1
49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
50,1,7,0,1,1,3,1,4,3,3,9,2,1,2,4,4
51,3,12,0,0,2,1,0,7,1,1,1,2,0,0,0,0
52,0,1,0,0,0,1,1,2,0,0,3,0,0,0,0,0
