objecttype,broadperio,fromdate,todate,old_findID
END SCRAPER,NEOLITHIC,-3500,-800,WILT-7FC4B2
END SCRAPER,NEOLITHIC,-2500,-2100,WILT-7FA0D7
END SCRAPER,NEOLITHIC,-2500,-2100,WILT-7F7A04
AWL,BRONZE AGE,-2150,-800,WILT-77CB78
ARMLET,UNKNOWN,-1200,410,WILT-BB14B5
SOCKETED AXEHEAD,BRONZE AGE,-1150,-800,WILT-CB58F4
AWL,BRONZE AGE,-1000,-800,WILT-ACE36E
WHETSTONE,POST MEDIEVAL,-800,-800,WILT-DBACE4
COIN,IRON AGE,-800,42,WILT-272C40
COIN,IRON AGE,-800,42,WILT-270183
COIN,IRON AGE,-800,42,WILT-271831
COIN,IRON AGE,-800,42,WILT-26DD82
PIN,IRON AGE,-800,42,WILT-6764E0
BROOCH,IRON AGE,-800,42,WILT-B8D6D4
UNIDENTIFIED OBJECT,IRON AGE,-800,42,PUBLIC-4DBF0D
BEAD,IRON AGE,-800,42,PUBLIC-FBA25B
FERRULE,IRON AGE,-700,1500,WILT-7A9021
RING,UNKNOWN,-600,1800,WILT-3ECFA7
RING,UNKNOWN,-600,1800,WILT-3EAA38
BROOCH,IRON AGE,-400,-200,SOM-7CDC28
HARNESS FITTING,IRON AGE,-200,400,WILT-23C982
BEAD,UNKNOWN,-200,1700,WILT-AF66F2
COIN,IRON AGE,-125,-100,SOM-01F2B6
COIN,IRON AGE,-100,-90,WILT-296946
TOGGLE,IRON AGE,-100,150,WILT-97C9E8
COIN,ROMAN,-79,-79,BM-4A433E
COIN,IRON AGE,-60,-20,BM-F654A1
COIN,IRON AGE,-50,42,BM-F602B7
COIN,IRON AGE,-50,50,SOM-2D7953
COIN,ROMAN,-32,-31,WILT-279C51
MOUNT,UNKNOWN,0,0,WILT-872403
UNIDENTIFIED OBJECT,UNKNOWN,0,0,WILT-3FCAE1
INGOT,UNKNOWN,0,0,WILT-46B44D
UNIDENTIFIED OBJECT,UNKNOWN,0,0,WILT-85FBF6
MOUNT,UNKNOWN,0,0,WILT-86AEBC
BOWL,UNKNOWN,0,0,WILT-BEC795
BROOCH,ROMAN,0,100,WILT-3C26C3
MOUNT,POST MEDIEVAL,0,1700,WILT-A69E27
NAIL,POST MEDIEVAL,0,1900,WILT-A0F757
BROOCH,IRON AGE,1,100,WILT-7BEC32
BROOCH,IRON AGE,1,100,WILT-7BC127
BROOCH,IRON AGE,1,100,WILT-A300F4
BROOCH,IRON AGE,1,100,WILT-A2D442
BROOCH,ROMAN,1,100,WILT-7BA564
BROOCH,ROMAN,1,100,WILT-7B8606
BROOCH,ROMAN,1,100,WILT-7B5E88
BROOCH,ROMAN,1,100,WILT-A3F0D3
BROOCH,ROMAN,1,100,WILT-797576
BROOCH,ROMAN,1,200,WILT-7C00E3
BROOCH,ROMAN,1,200,WILT-A39C24
BROOCH,ROMAN,1,200,WILT-A34EE4
BROOCH,ROMAN,1,200,WILT-B760A1
BROOCH,ROMAN,1,200,WILT-B725D2
SPOON,ROMAN,1,408,WILT-8BDD53
MOUNT,ROMAN,1,408,WILT-7706A6
EAR RING,ROMAN,1,408,WILT-CD1D75
FURNITURE FITTING,ROMAN,1,408,WILT-8C6F43
FURNITURE FITTING,ROMAN,1,408,WILT-8C1118
SPINDLE WHORL,MEDIEVAL,1,1800,WILT-1BD284
WEIGHT,UNKNOWN,1,1800,WILT-1BB575
WEIGHT,UNKNOWN,1,1800,WILT-1B9286
MOUNT,ROMAN,10,400,WILT-0359D1
FINGER RING,ROMAN,10,408,WILT-6636E2
BROOCH,IRON AGE,20,80,WILT-79C141
BROOCH,IRON AGE,20,100,WILT-BF1E41
