objecttype,easting,northing,seals,fromdate,todate
AMPULLA,"605000","123000","0","1100","1500"
AMPULLA,"616000","141000","0","1100","1540"
AMPULLA,"558000","165000","0","1150","1500"
AMPULLA,"565000","163000","0","1150","1500"
AMPULLA,"590000","152000","0","1150","1500"
AMPULLA,"614000","146000","0","1150","1500"
AMPULLA,"546000","146000","0","1175","1499"
AMPULLA,"552000","147000","0","1200","1500"
AMPULLA,"594000","145000","0","1200","1500"
AMPULLA,"598000","171000","0","1200","1500"
AMPULLA,"603000","125000","0","1300","1500"
AMPULLA,"604000","125000","0","1300","1500"
AMPULLA,"573000","163000","0","1350","1530"
AMPULLA,"593000","145000","0","1350","1530"
AMPULLA,"611000","134000","0","1350","1530"
AMPULLA,"626000","148000","0","1350","1550"
AMULET,"622000","169000","0","1200","1950"
ANIMAL BELL,"628000","149000","0","1600","1700"
APOTHECARY WEIGHT,"596000","153000","0","1500","1700"
ARROWHEAD,"567000","167000","0","1066","1500"
ASSEMBLAGE,"583000","161000","0","1500","1900"
ASSEMBLAGE,"561000","171000","0","1700","1850"
AXE,"601000","172000","0","1066","1500"
BADGE,"615000","158000","0","1250","1540"
BADGE,"611000","157000","0","1500","1900"
BADGE,"588000","162000","0","1818","1900"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"591000","147000","0","1900","0"
BADGE,"568000","156000","0","1914","1918"
BADGE,"582000","161000","0","1915","1915"
BADGE,"591000","147000","0","1928","1930"
BALANCE,"603000","125000","0","1200","1500"
BARREL PADLOCK,"612000","155000","0","1300","1399"
BEAD,"555000","171000","0","1500","1700"
BELL,"568000","172000","0","850","1100"
BELL,"629000","148000","0","1066","1700"
BELL,"606000","126000","0","1200","1400"
BELL,"621000","162000","0","1200","1800"
BELL,"627000","157000","0","1200","1600"
BELL,"636000","168000","0","1200","1500"
BELL,"617000","159000","0","1250","1600"
BELL,"560000","171000","0","1300","1400"
BELL,"603000","125000","0","1300","1800"
BELL,"595000","154000","0","1400","1800"
BELL,"595000","154000","0","1400","1800"
BELL,"620000","148000","0","1400","1800"
BELL,"621000","145000","0","1400","1800"
BELL,"625000","145000","0","1400","1800"
BELL,"569000","172000","0","1450","1600"
BELL,"550000","146000","0","1500","1699"
BELL,"561000","161000","0","1500","1700"
BELL,"562000","151000","0","1500","1700"
BELL,"562000","152000","0","1500","1700"
BELL,"562000","171000","0","1500","1850"
BELL,"564000","169000","0","1500","1700"
BELL,"589000","151000","0","1500","1800"
BELL,"594000","145000","0","1500","1700"
BELL,"595000","174000","0","1500","1800"
BELL,"609000","159000","0","1500","1700"
BELL,"610000","157000","0","1500","1800"
BELL,"610000","158000","0","1500","1700"
BELL,"610000","158000","0","1500","1800"
BELL,"621000","143000","0","1500","1800"
BELL,"622000","143000","0","1500","1800"
BELL,"622000","143000","0","1500","1800"
BELL,"622000","143000","0","1500","1800"
BELL,"623000","159000","0","1500","1600"
BELL,"625000","161000","0","1500","1800"
BELL,"626000","156000","0","1500","1700"
BELL,"626000","156000","0","1500","1700"
BELL,"634000","144000","0","1500","1800"
BELL,"634000","144000","0","1500","1800"
BELL,"635000","146000","0","1500","1700"
BELL,"635000","147000","0","1500","1700"
BELL,"568000","172000","0","1540","0"
BELL,"546000","143000","0","1550","1799"
BELL,"552000","146000","0","1600","1700"
BELL,"552000","147000","0","1600","1699"
BELL,"553000","168000","0","1600","1670"
BELL,"554000","173000","0","1600","1850"
BELL,"559000","170000","0","1600","1699"
BELL,"561000","165000","0","1600","1750"
BELL,"562000","166000","0","1600","1800"
BELL,"563000","167000","0","1600","1650"
BELL,"564000","163000","0","1600","1800"
BELL,"567000","139000","0","1600","1900"
BELL,"570000","170000","0","1600","1800"
BELL,"573000","155000","0","1600","1800"
BELL,"574000","160000","0","1600","1800"
BELL,"580000","153000","0","1600","1750"
BELL,"580000","153000","0","1600","1750"
BELL,"589000","153000","0","1600","1800"
BELL,"589000","162000","0","1600","1800"
BELL,"591000","151000","0","1600","1800"
BELL,"594000","145000","0","1600","1800"
BELL,"594000","153000","0","1600","1900"
BELL,"594000","154000","0","1600","1900"
BELL,"610000","145000","0","1600","1800"
BELL,"611000","154000","0","1600","1800"
BELL,"613000","155000","0","1600","1700"
BELL,"617000","166000","0","1600","1800"
BELL,"617000","166000","0","1600","1800"
BELL,"621000","153000","0","1600","1950"
BELL,"623000","156000","0","1600","1850"
BELL,"623000","156000","0","1600","1850"
BELL,"628000","158000","0","1600","1700"
BELL,"628000","158000","0","1600","1800"
BELL,"636000","148000","0","1600","1700"
BELL,"550000","146000","0","1650","1799"
BELL,"573000","141000","0","1650","1800"
BELL,"571000","170000","0","1670","1799"
BELL,"594000","142000","0","1670","1850"
BELL,"610000","145000","0","1670","1850"
BELL,"546000","146000","0","1680","1720"
BELL,"562000","151000","0","1700","1800"
BELL,"562000","152000","0","1700","1850"
BELL,"562000","152000","0","1700","1850"
